graph_generation:               0.019424 s
2765, 2447
1117, 3307
2336, 3805
1184, 3453
95, 2970
2207, 2388
238, 278
3488, 3502
2117, 2593
1280, 2159
3829, 3799
3488, 104
1153, 1428
3454, 624
3090, 3156
596, 505
862, 1356
2247, 56
556, 380
3389, 2477
1909, 3637
2207, 511
733, 793
2011, 568
1577, 2559
1117, 2952
1022, 1427
2970, 427
3145, 1901
3281, 3846
177, 3162
362, 427
2021, 472
889, 1832
376, 4054
889, 889
1272, 2636
2300, 2437
3015, 2526
3921, 730
1609, 901
1587, 3161
1737, 2000
1809, 1294
3638, 2993
3851, 1427
1849, 2599
2657, 743
2300, 2561
3694, 3901
3282, 3296
2615, 3182
3701, 3182
3944, 3549
2743, 2282
1609, 1280
2530, 2912
1184, 3182
2366, 679
26, 2605
2970, 427
3629, 1311
3556, 1913
3749, 2757
2984, 746
95, 95
1913, 780
756, 3338
3129, 3945
3851, 3724
250, 3591
2282, 433
2615, 2111
3851, 1260
3440, 101
2021, 2205
3129, 2924
1425, 1038
1270, 1135
1144, 168
493, 1067
2860, 3069
2139, 141
1864, 3043
1280, 699
1715, 3069
2579, 3788
373, 473
3227, 21
746, 1272
2649, 3989
3145, 1941
3672, 1646
2835, 1074
1609, 1152
2673, 1373
2821, 3361
1280, 1715
3129, 4093
504, 1074
3851, 3851
3059, 95
3022, 584
3291, 1871
1057, 3271
2021, 1481
3829, 1025
1417, 1474
1553, 1993
2300, 1807
177, 3296
2336, 1542
95, 3581
362, 1658
177, 1587
158, 3361
1280, 3227
3851, 1615
250, 141
1184, 473
3488, 1232
250, 369
2970, 2211
250, 248
2157, 95
86, 1472
1809, 2802
2230, 854
1280, 3556
2970, 815
1287, 3154
1324, 1117
435, 3483
1566, 3989
813, 2412
1184, 3961
95, 3772
1587, 3736
95, 73
746, 2497
862, 1272
3851, 3759
1564, 3910
3124, 177
670, 3402
3901, 3402
2417, 1471
2291, 2618
2938, 3472
532, 3759
73, 1195
2511, 2526
3296, 2111
77, 1587
3396, 2139
3761, 3698
3944, 1577
3227, 3248
362, 3917
3434, 1736
3303, 2698
2111, 682
1913, 3
964, 278
1809, 3013
1280, 2888
3944, 2637
1280, 2698
767, 3210
1137, 1633
1272, 2993
3227, 2845
1280, 3759
1587, 1832
657, 3163
3829, 3910
2097, 1832
1260, 427
2953, 3154
2, 2605
1609, 1474
2530, 3437
2117, 3736
2853, 1193
746, 835
362, 912
1874, 2477
427, 2012
238, 146
2600, 2358
862, 862
2517, 333
1971, 3459
23, 3043
2835, 1074
1280, 2710
2777, 56
3248, 2021
2153, 1422
1975, 889
